source	reference	sentA	sentB	modification_type	sentA_sem_changed
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme imene Referendum über ne Änderig vom Landesname ab	Mazedonier stimme im ne Referendum über e Änderig vom Landesname ab	insertion	Mazedonier stimme imene Referendum nid über ne Änderig vom Landesname ab
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme imene Referendum über ne Änderig vom Landesname ab	Mazedonier wählet bim Referendum über Namensänderig vom Land	substitution	Mazedonier stimme imene Referendum über ne Änderig vom Stadtname ab
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme im ne Referendum über e Änderig vom Landesname ab	Mazedonier wählet bim Referendum über Namensänderig vom Land	insertion	Mazedonier stimme im ne Referendum über e grossi Änderig vom Landesname ab
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	insertion	D Wähler werdet am Sunntig drüber nid abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler entscheided am Sunntig ob de Name vo ihrem Land i „Republik Nordmazedonie“ gänderet söll werde.	insertion	D Wähler werdet am Mäntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler werded am Sunntig drüber abstimme ob ihres Land i "Republik Nordmazedonie" umbenennt werde söu.	substitution	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Südmazedonie" söll umbenennt werde.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler werded am Sunntig drüber abstimme öb ihres Land in "Republik Nordmazedonie" söll umbenennt wärde.	substitution	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Ostmazedonie" söll umbenennt werde.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler entscheided am Sunntig ob de Name vo ihrem Land i „Republik Nordmazedonie“ gänderet söll werde.	insertion	D Wähler entscheide am Sunntig, ob de Name i "Republik Nordmazedonie" söll gänderet wärde.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler werded am Sunntig drüber abstimme ob ihres Land i "Republik Nordmazedonie" umbenennt werde söu.	substitution	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll bliibe.
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler werded am Sunntig drüber abstimme öb ihres Land in "Republik Nordmazedonie" söll umbenennt wärde.	deletion	D Wähler entscheide, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.
