source	reference	sentA	sentB	modification_type	sentA_sem_changed	BLEU_sentA_sem_changed	BLEU_sentA	BLEU_sentB	CHRF_sentA_sem_changed	CHRF_sentA	CHRF_sentB	COMET-20_sentA_sem_changed	COMET-20_sentA	COMET-20_sentB	COMET-22_sentA_sem_changed	COMET-22_sentA	COMET-22_sentB	COMET-5LANGS-NOISE_sentA_sem_changed	COMET-5LANGS-NOISE_sentA	COMET-5LANGS-NOISE_sentB	COMET-5LANGS-NO-NOISE_sentA_sem_changed	COMET-5LANGS-NO-NOISE_sentA	COMET-5LANGS-NO-NOISE_sentB	COMET-6LANGS-NOISE_sentA_sem_changed	COMET-6LANGS-NOISE_sentA	COMET-6LANGS-NOISE_sentB	COMET-6LANGS_sentA_sem_changed	COMET-6LANGS_sentA	COMET-6LANGS_sentB	COMET-GSW-XLMR-NOISE_sentA_sem_changed	COMET-GSW-XLMR-NOISE_sentA	COMET-GSW-XLMR-NOISE_sentB	COMET-GSW-XLMR_sentA_sem_changed	COMET-GSW-XLMR_sentA	COMET-GSW-XLMR_sentB	COMET-QE-20_sentA_sem_changed	COMET-QE-20_sentA	COMET-QE-20_sentB	COMET-QE-KIWI-5LANGS-NOISE_sentA_sem_changed	COMET-QE-KIWI-5LANGS-NOISE_sentA	COMET-QE-KIWI-5LANGS-NOISE_sentB	COMET-QE-KIWI-5LANGS-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI-5LANGS-NO-NOISE_sentA	COMET-QE-KIWI-5LANGS-NO-NOISE_sentB	COMET-QE-KIWI-6LANGS-NOISE_sentA_sem_changed	COMET-QE-KIWI-6LANGS-NOISE_sentA	COMET-QE-KIWI-6LANGS-NOISE_sentB	COMET-QE-KIWI-6LANGS_sentA_sem_changed	COMET-QE-KIWI-6LANGS_sentA	COMET-QE-KIWI-6LANGS_sentB	COMET-QE-KIWI-GSW-NOISE_sentA_sem_changed	COMET-QE-KIWI-GSW-NOISE_sentA	COMET-QE-KIWI-GSW-NOISE_sentB	COMET-QE-KIWI-GSW-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI-GSW-NO-NOISE_sentA	COMET-QE-KIWI-GSW-NO-NOISE_sentB	COMET-QE-KIWI_sentA_sem_changed	COMET-QE-KIWI_sentA	COMET-QE-KIWI_sentB	COMET-QE-KIWI-XLMR-NOISE_sentA_sem_changed	COMET-QE-KIWI-XLMR-NOISE_sentA	COMET-QE-KIWI-XLMR-NOISE_sentB	COMET-QE-KIWI_XLMR-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI_XLMR-NO-NOISE_sentA	COMET-QE-KIWI_XLMR-NO-NOISE_sentB	COMET-XLMR-FT_sentA_sem_changed	COMET-XLMR-FT_sentA	COMET-XLMR-FT_sentB	COMET-XLMR-NOISE_sentA_sem_changed	COMET-XLMR-NOISE_sentA	COMET-XLMR-NOISE_sentB
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme imene Referendum über ne Änderig vom Landesname ab	Mazedonier stimme im ne Referendum über e Änderig vom Landesname ab	insertion	Mazedonier stimme imene Referendum nid über ne Änderig vom Landesname ab	2.85	2.81	2.85	17.12	3.55	5.45	-0.600425660610199	-0.3180769681930542	-0.4651801586151123	0.6117315888404846	0.6169136166572571	0.6179220080375671	0.3751885592937469	0.3717124164104461	0.1997779905796051	-0.4641682505607605	-0.4718202948570251	-0.7406602501869202	0.3960273563861847	0.433926522731781	0.4275273382663727	0.3295338153839111	0.3819344341754913	0.3700480163097381	0.3290243744850158	0.3313392400741577	0.3290058374404907	0.0350346490740776	0.0350713580846786	0.0220358613878488	-1.2316354513168335	-1.036033272743225	-1.2932555675506592	0.3485844433307647	0.3728954493999481	0.2293759435415268	-0.3522626459598541	-0.1698221713304519	-0.6296906471252441	0.5534250140190125	0.5826640725135803	0.5554530620574951	0.5288547873497009	0.5686537623405457	0.5544857978820801	0.4448062181472778	0.4362758696079254	0.4368929266929626	0.3895933628082275	0.389051228761673	0.3865714967250824	0.4197946488857269	0.4728304743766784	0.4726806581020355	0.0974752306938171	0.2696154713630676	0.280573308467865	-1.3553547859191897	-0.8730204105377197	-1.114521026611328	-0.8262547254562378	-0.703779399394989	-0.647478461265564	0.1416767835617065	0.1690443009138107	0.2254308760166168
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme imene Referendum über ne Änderig vom Landesname ab	Mazedonier wählet bim Referendum über Namensänderig vom Land	substitution	Mazedonier stimme imene Referendum über ne Änderig vom Stadtname ab	2.81	2.81	3.43	7.22	3.55	4.03	-0.363081157207489	-0.3180769681930542	-0.7528825402259827	0.6073434352874756	0.6169136166572571	0.595780074596405	0.3529728055000305	0.3717124164104461	0.26390340924263	-0.439905047416687	-0.4718202948570251	-0.1208071708679199	0.4204703569412231	0.433926522731781	0.2678156197071075	0.3742342293262481	0.3819344341754913	0.1919914335012436	0.3154922723770141	0.3313392400741577	0.2445605248212814	0.0011062156409025	0.0350713580846786	-0.0263457801192998	-1.0974353551864624	-1.036033272743225	-0.8300427794456482	0.3746068477630615	0.3728954493999481	0.3450958132743835	-0.2665527164936065	-0.1698221713304519	-0.0482152625918388	0.5779610872268677	0.5826640725135803	0.4400232434272766	0.5652951002120972	0.5686537623405457	0.4498188197612762	0.4268997013568878	0.4362758696079254	0.4027822315692901	0.3785326182842254	0.389051228761673	0.3803566396236419	0.4195914566516876	0.4728304743766784	0.6304699182510376	0.1546362191438675	0.2696154713630676	0.1131576150655746	-1.0932878255844116	-0.8730204105377197	-0.3048454821109772	-0.818924605846405	-0.703779399394989	-0.6233160495758057	0.1314983069896698	0.1690443009138107	-0.0604048743844032
Macedonians go to polls in referendum on changing country's name	D Madezonier gö fürnes Referändum über d Namensänderig vo ihrem Land ad Urne.	Mazedonier stimme im ne Referendum über e Änderig vom Landesname ab	Mazedonier wählet bim Referendum über Namensänderig vom Land	insertion	Mazedonier stimme im ne Referendum über e grossi Änderig vom Landesname ab	2.87	2.85	3.43	3.33	5.45	4.03	-0.4554731547832489	-0.4651803970336914	-0.7528825402259827	0.6463802456855774	0.6179218888282776	0.595780074596405	0.0578623190522193	0.1997778415679931	0.26390340924263	-0.9036230444908142	-0.7406601309776306	-0.1208071708679199	0.3791531920433044	0.4275273382663727	0.2678156197071075	0.2902046740055084	0.3700478076934814	0.1919914335012436	0.3455373644828796	0.3290058374404907	0.2445605248212814	0.0559084489941597	0.0220357310026884	-0.0263457801192998	-1.3958345651626587	-1.2932559251785278	-0.8300427794456482	0.1262631267309188	0.2293760329484939	0.3450958132743835	-1.010519027709961	-0.6296914219856262	-0.0482152625918388	0.5181463956832886	0.5554529428482056	0.4400232434272766	0.4827187359333038	0.5544857382774353	0.4498188197612762	0.417041152715683	0.4368928670883178	0.4027822315692901	0.3527053594589233	0.3865716159343719	0.3803566396236419	0.4086862504482269	0.4726806581020355	0.6304699182510376	0.1550867259502411	0.2805733680725097	0.1131576150655746	-1.2542877197265625	-1.1145217418670654	-0.3048454821109772	-0.7084710001945496	-0.6474785208702087	-0.6233160495758057	0.1878930926322937	0.2254306077957153	-0.0604048743844032
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	insertion	D Wähler werdet am Sunntig drüber nid abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	6.64	6.61	17.47	27.85	21.79	10.64	-0.2312017083168029	0.2233695387840271	0.2604564726352691	0.7277157306671143	0.7713900804519653	0.795470118522644	0.5892206430435181	0.5882127285003662	0.7526783347129822	-0.1926046013832092	0.1456541717052459	0.3007530570030212	0.5613822340965271	0.581049919128418	0.7501937747001648	0.4190530776977539	0.4956231713294983	0.7116290330886841	0.4978249669075012	0.4983430504798889	0.5734330415725708	0.5252990126609802	0.5075070858001709	0.5542014837265015	-0.8601906299591064	-0.6341251134872437	-0.6530689001083374	0.5825015306472778	0.5881412625312805	0.5991625785827637	-0.3564862012863159	0.1671755909919738	-0.3768504559993744	0.6124223470687866	0.6493796110153198	0.7202569246292114	0.5835359692573547	0.6136286854743958	0.7445611357688904	0.6085534691810608	0.6139671206474304	0.5636736750602722	0.5849064588546753	0.6105490922927856	0.5760757923126221	0.6646934747695923	0.7246942520141602	0.7515807747840881	0.4209547638893127	0.4783533215522766	0.424612820148468	-1.474177598953247	-0.7449747323989868	-1.2411248683929443	-0.3796796500682831	-0.1166823431849479	-0.1743097901344299	0.3713087141513824	0.4029239416122436	0.4350736141204834
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler entscheided am Sunntig ob de Name vo ihrem Land i „Republik Nordmazedonie“ gänderet söll werde.	insertion	D Wähler werdet am Mäntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	6.61	6.61	13.4	24.3	21.79	10.64	0.1225128397345542	0.2233695387840271	0.3906179666519165	0.7200236320495605	0.7713900804519653	0.8127748370170593	0.5923364162445068	0.5882127285003662	0.7392725348472595	-0.0184438843280076	0.1456541717052459	0.2407551258802414	0.6009862422943115	0.581049919128418	0.744690477848053	0.5205404758453369	0.4956231713294983	0.7237735986709595	0.4924572110176086	0.4983430504798889	0.5253059267997742	0.4901887476444244	0.5075070858001709	0.5381865501403809	-0.7051740884780884	-0.6341251134872437	-0.5503963828086853	0.5661980509757996	0.5881412625312805	0.648719310760498	0.0510639920830726	0.1671755909919738	-0.0666488707065582	0.6797813773155212	0.6493796110153198	0.7845568656921387	0.6486894488334656	0.6136286854743958	0.7924653887748718	0.6194543242454529	0.6139671206474304	0.6004692316055298	0.611640214920044	0.6105490922927856	0.6268194913864136	0.7051737308502197	0.7246942520141602	0.7775344252586365	0.4918945431709289	0.4783533215522766	0.5186792016029358	-0.7777338624000549	-0.7449747323989868	-1.174056887626648	-0.3201681077480316	-0.1166823431849479	0.0820017307996749	0.3977819085121155	0.4029239416122436	0.4753668308258056
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler werded am Sunntig drüber abstimme ob ihres Land i "Republik Nordmazedonie" umbenennt werde söu.	substitution	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Südmazedonie" söll umbenennt werde.	5.83	6.61	5.97	20.67	21.79	19.91	0.2601052820682525	0.2233695387840271	-0.0936023443937301	0.7383109927177429	0.7713900804519653	0.7597396969795227	0.5777307748794556	0.5882127285003662	0.6809640526771545	0.143870860338211	0.1456541717052459	0.4018647968769073	0.5935075283050537	0.581049919128418	0.6855921745300293	0.5289723873138428	0.4956231713294983	0.6220073699951172	0.4922541975975036	0.4983430504798889	0.5328874588012695	0.4976477324962616	0.5075070858001709	0.524743378162384	-0.6591867804527283	-0.6341251134872437	-1.000558376312256	0.5728772878646851	0.5881412625312805	0.6738218665122986	0.1101777553558349	0.1671755909919738	0.378549188375473	0.6937590837478638	0.6493796110153198	0.775482177734375	0.6678584218025208	0.6136286854743958	0.7690932750701904	0.6320168972015381	0.6139671206474304	0.667065441608429	0.6303554773330688	0.6105490922927856	0.6588199138641357	0.7157849073410034	0.7246942520141602	0.6919982433319092	0.4959331154823303	0.4783533215522766	0.4844487309455871	-0.6814264059066772	-0.7449747323989868	-1.0496597290039062	-0.0411439910531044	-0.1166823431849479	0.0120759028941392	0.4282736480236053	0.4029239416122436	0.4405991733074188
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Nordmazedonie" söll umbenennt werde.	D Wähler werded am Sunntig drüber abstimme öb ihres Land in "Republik Nordmazedonie" söll umbenennt wärde.	substitution	D Wähler werdet am Sunntig drüber abstimme, ob ihres Land i "Ostmazedonie" söll umbenennt werde.	5.83	6.61	6.46	20.67	21.79	19.68	0.2128114700317382	0.2233695387840271	-0.0373182222247123	0.7792217135429382	0.7713900208473206	0.5834993720054626	0.6201963424682617	0.5882127285003662	0.6634225249290466	0.2078188806772232	0.1456540673971176	-0.1767146289348602	0.5967846512794495	0.581049919128418	0.6723182797431946	0.5148419141769409	0.4956232011318207	0.6027275323867798	0.4886043071746826	0.4983430504798889	0.5563392043113708	0.4830869436264038	0.5075071454048157	0.5483450293540955	-0.660139799118042	-0.634125292301178	-0.916333019733429	0.606628954410553	0.5881412029266357	0.5060509443283081	0.2005051523447036	0.1671753227710724	-0.8295032978057861	0.679895281791687	0.6493797302246094	0.7190427780151367	0.6417354345321655	0.6136286854743958	0.7117528319358826	0.6163737773895264	0.6139670014381409	0.6408690810203552	0.6144624948501587	0.6105491518974304	0.6477159261703491	0.7216659784317017	0.7246941924095154	0.5641621947288513	0.4896159768104553	0.4783534407615661	0.2038962543010711	-0.687846839427948	-0.7449747323989868	-2.023036241531372	-0.0641340389847755	-0.1166823431849479	-0.6863494515419006	0.4017342925071716	0.4029239416122436	0.2629143893718719
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler entscheided am Sunntig ob de Name vo ihrem Land i „Republik Nordmazedonie“ gänderet söll werde.	insertion	D Wähler entscheide am Sunntig, ob de Name i "Republik Nordmazedonie" söll gänderet wärde.	7.05	17.47	13.4	12.47	10.64	10.64	0.0593206062912941	0.2604564726352691	0.3906179666519165	0.7488622665405273	0.795470118522644	0.8127748370170593	0.6440809965133667	0.7526783347129822	0.7392725348472595	0.1023745089769363	0.3007530570030212	0.2407551258802414	0.6989668011665344	0.7501937747001648	0.744690477848053	0.694057822227478	0.7116290330886841	0.7237735986709595	0.5152280926704407	0.5734330415725708	0.5253059267997742	0.488506406545639	0.5542014837265015	0.5381865501403809	-0.8509691953659058	-0.6530689001083374	-0.5503963828086853	0.5225018262863159	0.5991625785827637	0.648719310760498	-0.4015452265739441	-0.3768504559993744	-0.0666488707065582	0.6954529285430908	0.7202569246292114	0.7845568656921387	0.7304372787475586	0.7445611357688904	0.7924653887748718	0.5052102208137512	0.5636736750602722	0.6004692316055298	0.4986849725246429	0.5760757923126221	0.6268194913864136	0.6919842958450317	0.7515810132026672	0.7775344252586365	0.384658545255661	0.424612820148468	0.5186792016029358	-1.4890795946121216	-1.2411248683929443	-1.174056887626648	-0.3912034630775451	-0.1743097901344299	0.0820017307996749	0.4247722327709198	0.4350736141204834	0.4753668308258056
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler werded am Sunntig drüber abstimme ob ihres Land i "Republik Nordmazedonie" umbenennt werde söu.	substitution	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll bliibe.	16.47	17.47	5.97	10.42	10.64	19.91	0.1196602061390876	0.2604564726352691	-0.0936022326350212	0.7140671610832214	0.7954700589179993	0.7597396373748779	0.6026017069816589	0.7526783347129822	0.6809641718864441	0.153362363576889	0.3007529079914093	0.4018647074699402	0.616121232509613	0.7501937747001648	0.6855922341346741	0.5442561507225037	0.7116291522979736	0.6220073699951172	0.5145899653434753	0.5734330415725708	0.5328874588012695	0.492127388715744	0.5542014837265015	0.524743378162384	-0.4127454459667206	-0.6530691385269165	-1.0005584955215454	0.5301729440689087	0.5991625785827637	0.6738218069076538	-0.0906048566102981	-0.3768505454063415	0.3785490095615387	0.705848217010498	0.720257043838501	0.7754822969436646	0.706493616104126	0.7445611357688904	0.7690932750701904	0.6172559261322021	0.5636735558509827	0.6670653820037842	0.6170231103897095	0.5760757923126221	0.6588199138641357	0.7317543029785156	0.7515807747840881	0.6919982433319092	0.4902655482292175	0.4246129393577575	0.4844489097595215	-0.8380768895149231	-1.241124987602234	-1.0496597290039062	0.2064799070358276	-0.1743097305297851	0.0120759531855583	0.4628971517086029	0.4350734949111938	0.4405991435050964
Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	D Wähler stimme am Sunnti drüber ab, ob dr Name vo ihrem Land zu "Rebublik Nordmazedonie" söu abgänderet wärde.	D Wähler entscheide am Sunntig, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	D Wähler werded am Sunntig drüber abstimme öb ihres Land in "Republik Nordmazedonie" söll umbenennt wärde.	deletion	D Wähler entscheide, ob de Name vo ihrem Land i "Republik Nordmazedonie" söll gänderet wärde.	17.04	17.47	6.46	12.03	10.64	19.68	-0.0031259711831808	0.2604564726352691	-0.0373182222247123	0.7244790196418762	0.7954700589179993	0.5834993720054626	0.6327123641967773	0.7526783347129822	0.6634225249290466	0.1719713360071182	0.3007529079914093	-0.1767146289348602	0.6840031743049622	0.7501937747001648	0.6723182797431946	0.6622190475463867	0.7116291522979736	0.6027275323867798	0.5167804956436157	0.5734330415725708	0.5563392043113708	0.5081687569618225	0.5542014837265015	0.5483450293540955	-0.6967015266418457	-0.6530691385269165	-0.916333019733429	0.4797753095626831	0.5991625785827637	0.5060509443283081	-0.3183534145355224	-0.3768505454063415	-0.8295032978057861	0.6459238529205322	0.720257043838501	0.7190427780151367	0.6896169781684875	0.7445611357688904	0.7117528319358826	0.5611540675163269	0.5636735558509827	0.6408690810203552	0.5667388439178467	0.5760757923126221	0.6477159261703491	0.6082857251167297	0.7515807747840881	0.5641621947288513	0.4980472922325134	0.4246129393577575	0.2038962543010711	-1.1692371368408203	-1.241124987602234	-2.023036241531372	-0.1823530793190002	-0.1743097305297851	-0.6863494515419006	0.4771952033042907	0.4350734949111938	0.2629143893718719
