source	reference	sentA	sentB	modification_type	sentA_sem_changed
The expert who played the carillon in July called it something else: "A cultural treasure" and "an irreplaceable historical instrument."	De Expert, wo s Glockespiel im Juli gspielt hett, hetts anders gnännt: "En kulturelle Schatz" und "es unersetzichs historischs Instrumänt."	De Experte, wo s'Glockespiel im Juli gspilt hät, hät's öppis anders gnännt: "Kulturschatz" und "es unersetzlichs historisches Instrument".	De Experte wo s Glogespiil im Juli gspilt het, hät s öppis anders gsäit: "Kulturschatz" und "es unersetzlichs historisches Instrument".	insertion	De selbsternannti Experte, wo s'Glockespiel im Juli gspilt hät, hät's öppis anders gnännt: "Kulturschatz" und "es unersetzlichs historisches Instrument".
Mr. Merriweather said that St. Martin's did not replace him.	De Herr Merriweather hett gsait, dass St. Martin's ihn nöd ersetzt hett.	Herr Merriweather het gseit, dass St. Martin's ihn nid ersetzt het.	De Herr Merriweather hät gseit, dass de St. Martin's en nöd ersetzt hät.	substitution	Herr Merriweather het ghört, dass St. Martin's ihn nid ersetzt het.
The supermarket is also relaunching its Boutique makeup range so that the majority of products are vegan-friendly - something increasingly demanded by younger shoppers.	De Supermarkt bringt usserdem sis Boutique-Make-up-Sortimänt neu uf de Markt, dass sie meiste Produkt veganfründlich sind, was zuenähmend au vo jüngere Käufer nachegfrögt wird.	Osserdem füehrt de Supermarkt en Relaunch vo sine Makeupserie „Boutique“ dure, sodass de gröschti Teil vo de Produkt veganerfründlech isch – en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.	Usserdäm füehrt de Supermarkt en Relunch vo sinere Makeupserie "Boutique" dure, sodass de grössti Teil vo de Produkt veganerfründlich isch - en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.	insertion	Osserdem füehrt de Supermarkt en Relaunch vo sine Makeupserie „Boutique“ dure, sodass de gröschti Teil vo de Produkt nümm veganerfründlech isch – en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.
The new strategy comes after Sainsbury's sold its 281-store pharmacy business to Celesio, the owner of the Lloyds Pharmacy chain, for £125m, three years ago.	Die neui Strategie chunt, nachdem Sainsbury's vor drü Jahr sis Apothekegschäft mit 281 Filiale für 125 Millione Pfund a Celesio, de Eigetümer vo de Pharmazie-Chetti vo Lloyds, verkauft hett.	Diä neui Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegschäft a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für 125 Millione britischi Pfund vor drü Jahr.	Die neue Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegeschäfts a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für 125 Millione britischi Pfund vor drei Jahr.	insertion	Diä neui Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegschäft a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für fascht 125 Millione britischi Pfund vor drü Jahr.
This Morning presenter, 37, took to Instagram to announce she is leaving.	D Moderatorin vo This Morning, 37, hett uf Instagram bekanntgäh, dass sie gaht.	D «This Morning»-Moderatorin, 37, hät ihren Rückzug uf Instagram aakündigt.	Die „This Morning“-Moderatorin, 37, chündigt ihre Rückzug uf Instagram aa.	insertion	D «This Morning»-Moderatorin, 37, hät ihren Rückzug gross uf Instagram aakündigt.
Her decision to pull out left everyone involved absolutely stunned.	Ihri Entscheidig, sich zruggzziehe, hett alli Beteiligte vollig in Stuune versetzt.	Ihri Entscheidig, sich zrugg z zieh, het alli Beteiligte absolut fassigslos zrugg gloh.	Ihri Entscheidig für de Rückzug isch für alli Beteiligte völlig überraschend cho.	substitution	Ihri Entscheidig, sich zrugg z zieh, het alli Beteiligte absolut begeisteret zrugg gloh.
He joked about criticism he would get from the news media for making a comment some would consider "unpresidential" and for being so positive about the North Korean leader.	Er hett überd Kritik gscherzt, woner vo de Nachrichtemedie becho hett, wil er en Kommentar abgäh hett, wo gwüssi "unpräsidial" bezeichne würed, und wil er am nordkoreanische Staatsoberhaut so positiv gägenübergstande isch.	Er het über d Kritik gwitzlet, wo er vo de Nachrichtemedie für en Kommentar, wo einigi als "nöd präsidentiell" betrachte würded, und für so positivi Üsserige über de Führer Nordkoreas erwartet het.	Er het über Kritik gschärzt, woner vo de Nachrichtemedie übercho würd, wil er e Bemerkig gmacht hetti, wo mengi als "unpresidial" würded bezeichne und will er so positiv über de Nordkoreanische Füehrer sig.	substitution	Er het über s Lob gwitzlet, wo er vo de Nachrichtemedie für en Kommentar, wo einigi als "nöd präsidentiell" betrachte würded, und für so positivi Üsserige über de Führer Nordkoreas erwartet het.
But denuclearization negotiations have stalled.	Aber d Verhandlige über d Entnuklearisierig sind is Stocke grate.	Aber d Verhandlige über d Denuklearisierig sind is Stocke grate.	Die Denuklearisierigsverhandlige sind aber is Stock grote.	insertion	Aber di gmüetliche Verhandlige über d Denuklearisierig sind is Stocke grate.
Now we have this great relationship."	Jetz hämer das grossartige Verhältnis."	Jetz hemmer die grossartig Beziehig."	"Etz händ mer die grossartigi Beziehig."	substitution	Jetz hemmer die müesami Beziehig."
Death toll from Indonesia tsunami rises to 832	D Azahl vo de Todesopfer vom Tsunami in Indonesie stiigt uf 832.	Zahl vo de Todsopfer dur de Tsunami in Indonesie stiigt uf 832	Zahl vode Todesopfer vom Tsunamis in Indonesie stigt uf 832	deletion	Zahl vo de Todsopfer dur de Tsunami stiigt uf 832
