source	reference	sentA	sentB	modification_type	sentA_sem_changed	BLEU_sentA_sem_changed	BLEU_sentA	BLEU_sentB	CHRF_sentA_sem_changed	CHRF_sentA	CHRF_sentB	COMET-20_sentA_sem_changed	COMET-20_sentA	COMET-20_sentB	COMET-22_sentA_sem_changed	COMET-22_sentA	COMET-22_sentB	COMET-5LANGS-NOISE_sentA_sem_changed	COMET-5LANGS-NOISE_sentA	COMET-5LANGS-NOISE_sentB	COMET-5LANGS-NO-NOISE_sentA_sem_changed	COMET-5LANGS-NO-NOISE_sentA	COMET-5LANGS-NO-NOISE_sentB	COMET-6LANGS-NOISE_sentA_sem_changed	COMET-6LANGS-NOISE_sentA	COMET-6LANGS-NOISE_sentB	COMET-6LANGS_sentA_sem_changed	COMET-6LANGS_sentA	COMET-6LANGS_sentB	COMET-GSW-XLMR-NOISE_sentA_sem_changed	COMET-GSW-XLMR-NOISE_sentA	COMET-GSW-XLMR-NOISE_sentB	COMET-GSW-XLMR_sentA_sem_changed	COMET-GSW-XLMR_sentA	COMET-GSW-XLMR_sentB	COMET-QE-20_sentA_sem_changed	COMET-QE-20_sentA	COMET-QE-20_sentB	COMET-QE-KIWI-5LANGS-NOISE_sentA_sem_changed	COMET-QE-KIWI-5LANGS-NOISE_sentA	COMET-QE-KIWI-5LANGS-NOISE_sentB	COMET-QE-KIWI-5LANGS-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI-5LANGS-NO-NOISE_sentA	COMET-QE-KIWI-5LANGS-NO-NOISE_sentB	COMET-QE-KIWI-6LANGS-NOISE_sentA_sem_changed	COMET-QE-KIWI-6LANGS-NOISE_sentA	COMET-QE-KIWI-6LANGS-NOISE_sentB	COMET-QE-KIWI-6LANGS_sentA_sem_changed	COMET-QE-KIWI-6LANGS_sentA	COMET-QE-KIWI-6LANGS_sentB	COMET-QE-KIWI-GSW-NOISE_sentA_sem_changed	COMET-QE-KIWI-GSW-NOISE_sentA	COMET-QE-KIWI-GSW-NOISE_sentB	COMET-QE-KIWI-GSW-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI-GSW-NO-NOISE_sentA	COMET-QE-KIWI-GSW-NO-NOISE_sentB	COMET-QE-KIWI_sentA_sem_changed	COMET-QE-KIWI_sentA	COMET-QE-KIWI_sentB	COMET-QE-KIWI-XLMR-NOISE_sentA_sem_changed	COMET-QE-KIWI-XLMR-NOISE_sentA	COMET-QE-KIWI-XLMR-NOISE_sentB	COMET-QE-KIWI_XLMR-NO-NOISE_sentA_sem_changed	COMET-QE-KIWI_XLMR-NO-NOISE_sentA	COMET-QE-KIWI_XLMR-NO-NOISE_sentB	COMET-XLMR-FT_sentA_sem_changed	COMET-XLMR-FT_sentA	COMET-XLMR-FT_sentB	COMET-XLMR-NOISE_sentA_sem_changed	COMET-XLMR-NOISE_sentA	COMET-XLMR-NOISE_sentB
The expert who played the carillon in July called it something else: "A cultural treasure" and "an irreplaceable historical instrument."	De Expert, wo s Glockespiel im Juli gspielt hett, hetts anders gnännt: "En kulturelle Schatz" und "es unersetzichs historischs Instrumänt."	De Experte, wo s'Glockespiel im Juli gspilt hät, hät's öppis anders gnännt: "Kulturschatz" und "es unersetzlichs historisches Instrument".	De Experte wo s Glogespiil im Juli gspilt het, hät s öppis anders gsäit: "Kulturschatz" und "es unersetzlichs historisches Instrument".	insertion	De selbsternannti Experte, wo s'Glockespiel im Juli gspilt hät, hät's öppis anders gnännt: "Kulturschatz" und "es unersetzlichs historisches Instrument".	21.4	21.4	13.86	5.98	12.07	17.7	-0.2454200834035873	-0.1279647946357727	-0.2447072267532348	0.7218411564826965	0.7329822182655334	0.6990628838539124	0.3848234415054321	0.4865853488445282	0.1668075621128082	0.0378147661685943	0.0623011589050293	-0.0863729119300842	0.5347016453742981	0.555764377117157	0.4729805588722229	0.5442447662353516	0.5639060735702515	0.3577319085597992	0.3902802467346191	0.4087193608283996	0.3944917321205139	0.3825259208679199	0.3979764282703399	0.3888136148452759	-0.7562821507453918	-0.7667798399925232	-0.9786746501922609	-0.0737295746803283	-0.0737751424312591	-0.7592799663543701	-0.5390605330467224	-0.7379581332206726	-0.8979282379150391	0.4717668294906616	0.4438989162445068	0.3492778539657593	0.5182400345802307	0.4996247589588165	0.340366005897522	0.4500704705715179	0.466528981924057	0.4588304758071899	0.5024048089981079	0.4957152903079986	0.4498945772647857	0.4342722296714782	0.4188012480735779	0.4178242683410644	0.01490343734622	-0.1255289912223816	-0.928120493888855	-1.0428531169891355	-1.1491410732269287	-1.3898199796676636	0.0376822762191295	-0.2114776074886322	-0.034039456397295	0.1064203381538391	0.1683896332979202	-0.0799992382526397
Mr. Merriweather said that St. Martin's did not replace him.	De Herr Merriweather hett gsait, dass St. Martin's ihn nöd ersetzt hett.	Herr Merriweather het gseit, dass St. Martin's ihn nid ersetzt het.	De Herr Merriweather hät gseit, dass de St. Martin's en nöd ersetzt hät.	substitution	Herr Merriweather het ghört, dass St. Martin's ihn nid ersetzt het.	38.74	38.74	19.72	3.66	3.66	38.85	-0.5547236800193787	-0.2326937913894653	0.418532133102417	0.6269971132278442	0.6910986304283142	0.6363351941108704	0.7951107621192932	0.8706727027893066	0.6518248915672302	0.2878878712654114	0.4239502251148224	0.2246694266796112	0.6997057795524597	0.7452113032341003	0.6618337035179138	0.8307411074638367	0.9106316566467284	0.4868894219398498	0.4564169049263	0.5145965218544006	0.456321656703949	0.4826909005641937	0.6094366908073425	0.5063585042953491	-1.4263750314712524	-1.1898137331008911	-1.02548348903656	0.1312626004219055	0.1888268142938614	-0.0522297322750091	-0.611828625202179	-0.3653051257133484	-0.3771004974842071	0.4163683652877807	0.3742730617523193	0.3405030369758606	0.6004209518432617	0.5828623175621033	0.4158118665218353	0.4242943227291107	0.4476286172866821	0.3703510463237762	0.469574362039566	0.5207103490829468	0.415694385766983	0.5216609239578247	0.4483272433280945	0.4341115653514862	0.2017558068037033	0.2580873966217041	-0.0833184272050857	-0.9003540277481079	-1.2244712114334106	-1.333962082862854	-0.2160437107086181	-0.0587248280644416	-0.119627796113491	0.5267465114593506	0.589139461517334	0.3564850091934204
The supermarket is also relaunching its Boutique makeup range so that the majority of products are vegan-friendly - something increasingly demanded by younger shoppers.	De Supermarkt bringt usserdem sis Boutique-Make-up-Sortimänt neu uf de Markt, dass sie meiste Produkt veganfründlich sind, was zuenähmend au vo jüngere Käufer nachegfrögt wird.	Osserdem füehrt de Supermarkt en Relaunch vo sine Makeupserie „Boutique“ dure, sodass de gröschti Teil vo de Produkt veganerfründlech isch – en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.	Usserdäm füehrt de Supermarkt en Relunch vo sinere Makeupserie "Boutique" dure, sodass de grössti Teil vo de Produkt veganerfründlich isch - en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.	insertion	Osserdem füehrt de Supermarkt en Relaunch vo sine Makeupserie „Boutique“ dure, sodass de gröschti Teil vo de Produkt nümm veganerfründlech isch – en Aspekt, wo vo jüngere Chunde zuenähmend gforderet wird.	3.87	3.99	3.76	2.02	2.69	2.69	-1.2041547298431396	-0.958833396434784	-0.9935644268989564	0.4674607515335083	0.482471615076065	0.4489492774009704	-0.0202189180999994	-0.0255134124308824	-0.1048826649785041	-0.4398468732833862	-0.536629855632782	-0.6686956286430359	0.4149112105369568	0.4232564866542816	0.401297390460968	0.4214077889919281	0.4683192372322082	0.3761480152606964	0.3486148118972778	0.3143559098243713	0.3568577170372009	0.3742315471172333	0.3576198518276214	0.393425852060318	-1.937934637069702	-1.9041632413864136	-1.9186893701553345	-0.0851774737238884	-0.0816287398338317	-0.0507112145423889	-0.8687298893928528	-0.8464689254760742	-0.8683226108551025	0.6507484912872314	0.6591646671295166	0.6687748432159424	0.6766605973243713	0.6848319172859192	0.652635395526886	0.4738081395626068	0.4622313678264618	0.4619537889957428	0.4266357421875	0.4127628803253174	0.4202484786510467	0.3776741921901703	0.4140591621398926	0.3423058986663818	-1.2214038372039795	-1.2409476041793823	-1.22762930393219	-1.864691972732544	-1.8518707752227783	-1.880118012428284	-0.9991517663002014	-1.0011396408081057	-0.9546127915382384	-0.9211522340774536	-1.0369746685028076	-1.1168785095214844
The new strategy comes after Sainsbury's sold its 281-store pharmacy business to Celesio, the owner of the Lloyds Pharmacy chain, for £125m, three years ago.	Die neui Strategie chunt, nachdem Sainsbury's vor drü Jahr sis Apothekegschäft mit 281 Filiale für 125 Millione Pfund a Celesio, de Eigetümer vo de Pharmazie-Chetti vo Lloyds, verkauft hett.	Diä neui Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegschäft a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für 125 Millione britischi Pfund vor drü Jahr.	Die neue Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegeschäfts a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für 125 Millione britischi Pfund vor drei Jahr.	insertion	Diä neui Strategie folgt uf Sainsbury's Verchauf vo sim 281 Filiale umfassende Pharmaziegschäft a Celesio, de Bsitzer vo de Chetti Lloyds Pharmacy, für fascht 125 Millione britischi Pfund vor drü Jahr.	15.2	17.3	14.56	12.06	11.41	12.06	-1.0173392295837402	-0.9996437430381776	-1.011516571044922	0.5799493193626404	0.6142524480819702	0.5566457509994507	-0.4035171568393707	-0.2633532583713531	-0.285486102104187	-0.7736915946006775	-0.6801660656929016	-0.8391987681388855	0.2618841528892517	0.2801746428012848	0.350070059299469	0.093183234333992	0.1222142502665519	0.1897904425859451	0.3937263488769531	0.4055615067481994	0.3549252152442932	0.1791978925466537	0.1934650987386703	0.0722587183117866	-1.3347429037094116	-1.3247610330581665	-1.383098006248474	-0.8676866292953491	-0.7340651750564575	-0.5013235211372375	-1.5523650646209717	-1.523776292800903	-1.4609260559082031	0.4259618520736694	0.4162755608558655	0.5260789394378662	0.2362400144338607	0.2060387581586837	0.420244961977005	0.3857514858245849	0.3980814516544342	0.3774547874927521	0.4196757972240448	0.4230785071849823	0.3855953216552734	0.4432510435581207	0.5382145643234253	0.4088148176670074	-0.6512278318405151	-0.3888426423072815	-0.1208166480064392	-1.9293259382247925	-1.9523625373840328	-1.8564332723617556	-0.5530713200569153	-0.448995977640152	-0.6479809880256653	-0.2692203521728515	0.0540881864726543	0.0918280035257339
This Morning presenter, 37, took to Instagram to announce she is leaving.	D Moderatorin vo This Morning, 37, hett uf Instagram bekanntgäh, dass sie gaht.	D «This Morning»-Moderatorin, 37, hät ihren Rückzug uf Instagram aakündigt.	Die „This Morning“-Moderatorin, 37, chündigt ihre Rückzug uf Instagram aa.	insertion	D «This Morning»-Moderatorin, 37, hät ihren Rückzug gross uf Instagram aakündigt.	11.67	11.56	11.13	7.67	12.99	1.66	-0.2945062816143036	-0.3010883331298828	-0.4014967083930969	0.7744187116622925	0.7636641263961792	0.735909640789032	0.2260487526655197	0.3433715403079986	0.3014340102672577	-0.1463661342859268	0.1813639551401138	-0.1422296613454818	0.4276662468910217	0.4445404410362243	0.3790986239910126	0.3889037072658539	0.4874579012393951	0.3908798396587372	0.3154969215393066	0.3718219995498657	0.3656691312789917	0.0731323882937431	0.2813419699668884	0.2449925243854522	0.0795636028051376	0.0704156756401062	-0.6525906920433044	0.388310045003891	0.5018922686576843	0.4298990666866302	-0.612496554851532	-0.2051039785146713	-0.5742700695991516	0.5738546252250671	0.5958619713783264	0.4858453869819641	0.5933312773704529	0.6665518879890442	0.5383706092834473	0.3648050129413605	0.3824452757835388	0.3615463972091675	0.3246261775493622	0.3836668133735657	0.3478900790214538	0.5374424457550049	0.7867101430892944	0.7892115712165833	0.0207092873752117	0.2395163774490356	0.4154016375541687	-1.302412033081055	-0.6991969347000122	-0.4934877455234527	-0.6777875423431396	-0.3300909996032715	-0.4617004096508026	0.0846665352582931	0.1465906649827957	0.1488306075334549
Her decision to pull out left everyone involved absolutely stunned.	Ihri Entscheidig, sich zruggzziehe, hett alli Beteiligte vollig in Stuune versetzt.	Ihri Entscheidig, sich zrugg z zieh, het alli Beteiligte absolut fassigslos zrugg gloh.	Ihri Entscheidig für de Rückzug isch für alli Beteiligte völlig überraschend cho.	substitution	Ihri Entscheidig, sich zrugg z zieh, het alli Beteiligte absolut begeisteret zrugg gloh.	19.56	19.56	8.55	59.89	58.5	50.14	-0.7631837725639343	-0.6464795470237732	-1.0097293853759766	0.4891875088214874	0.5049481391906738	0.4878795444965362	-0.2106801867485046	0.1929020434617996	-0.3882305324077606	-0.6600096821784973	-0.2526068687438965	-1.136749267578125	0.4572885036468506	0.4724961817264557	0.2084316462278366	0.5164739489555359	0.514847457408905	0.2305643409490585	0.5214858055114746	0.4835304021835327	0.2863961458206177	0.4771204888820648	0.4448296725749969	0.243499293923378	-2.001647472381592	-1.9527934789657595	-1.7445660829544067	-1.2892332077026367	-0.5986711978912354	-1.2660667896270752	-1.5812137126922607	-1.3608028888702393	-1.7330338954925537	-0.0409625843167305	-0.0168948415666818	0.1486608237028122	0.1847690343856811	0.1161168590188026	0.1861548572778701	0.3772475719451904	0.3206323087215423	0.4169127345085144	0.4287017583847046	0.355671614408493	0.3298316299915313	0.266002744436264	0.2423475980758667	0.4289325773715973	-1.841761827468872	-1.5104280710220337	-1.0175191164016724	-2.1016736030578613	-2.06143569946289	-2.023866415023804	-0.865063488483429	-0.6637905240058899	-1.1863468885421753	-1.0910323858261108	-0.7110564708709717	-0.9535328149795532
He joked about criticism he would get from the news media for making a comment some would consider "unpresidential" and for being so positive about the North Korean leader.	Er hett überd Kritik gscherzt, woner vo de Nachrichtemedie becho hett, wil er en Kommentar abgäh hett, wo gwüssi "unpräsidial" bezeichne würed, und wil er am nordkoreanische Staatsoberhaut so positiv gägenübergstande isch.	Er het über d Kritik gwitzlet, wo er vo de Nachrichtemedie für en Kommentar, wo einigi als "nöd präsidentiell" betrachte würded, und für so positivi Üsserige über de Führer Nordkoreas erwartet het.	Er het über Kritik gschärzt, woner vo de Nachrichtemedie übercho würd, wil er e Bemerkig gmacht hetti, wo mengi als "unpresidial" würded bezeichne und will er so positiv über de Nordkoreanische Füehrer sig.	substitution	Er het über s Lob gwitzlet, wo er vo de Nachrichtemedie für en Kommentar, wo einigi als "nöd präsidentiell" betrachte würded, und für so positivi Üsserige über de Führer Nordkoreas erwartet het.	6.71	6.82	15.96	6.24	24.39	15.19	-1.2212228775024414	-1.1851582527160645	-0.936781644821167	0.5005034804344177	0.5173047780990601	0.5709472894668579	-0.9769393801689148	-0.9440718293190002	0.1546055972576141	-1.0942091941833496	-1.0183573961257937	-0.1279135197401046	0.0767193287611007	0.0169192682951688	0.3412670493125915	-0.0523132607340812	-0.1494172364473343	0.3199661076068878	0.0700128376483917	0.0669749826192855	0.3445236086845398	-0.1541217118501663	-0.1700315326452255	0.1998804956674575	-1.6478554010391235	-1.5530343055725098	-1.739773154258728	-1.232756495475769	-1.2070742845535278	-0.7868845462799072	-1.6727511882781982	-1.6147737503051758	-1.5419411659240725	0.2756606936454773	0.1478178203105926	0.1885958611965179	0.242640271782875	0.0560969859361648	0.1356459707021713	0.1227775663137435	0.0907430201768875	0.1902103275060653	0.0408704616129398	-0.0149081135168671	0.0844162553548812	0.3881300389766693	0.398281842470169	0.3811891973018646	-1.6879292726516724	-1.6787351369857788	-1.6721312999725342	-2.0951409339904785	-2.104620695114136	-2.1117334365844727	-1.044882893562317	-1.0647828578948977	-0.8192161917686462	-1.0917255878448486	-1.1586602926254272	-0.5213397145271301
But denuclearization negotiations have stalled.	Aber d Verhandlige über d Entnuklearisierig sind is Stocke grate.	Aber d Verhandlige über d Denuklearisierig sind is Stocke grate.	Die Denuklearisierigsverhandlige sind aber is Stock grote.	insertion	Aber di gmüetliche Verhandlige über d Denuklearisierig sind is Stocke grate.	43.67	70.17	5.0	16.48	38.75	10.2	0.4368726015090942	0.7543020844459534	-0.4229199290275574	0.7398226857185364	0.8425727486610413	0.6263084411621094	0.8177099823951721	1.048148274421692	0.1290325224399566	0.8919568061828613	1.1251840591430664	-0.7193326354026794	0.7136553525924683	1.0048424005508425	0.4202179908752441	0.767288088798523	1.0668965578079224	-0.0801663473248481	0.5671977996826172	0.785253643989563	0.5008724927902222	0.5127504467964172	0.744296133518219	0.4126308858394623	-1.5055922269821167	-1.4632219076156616	-1.3628045320510864	-0.0088668409734964	-0.2358878701925277	-0.037573717534542	-0.7539098858833313	-1.252708911895752	-1.443375825881958	0.4540395140647888	0.5451066493988037	0.368990033864975	0.4269444346427917	0.5440293550491333	-0.1818671524524688	0.3773634135723114	0.4366166293621063	0.4209408462047577	0.4071387052536011	0.4809929430484772	0.4610871076583862	0.2818496525287628	0.2769976854324341	0.3685442209243774	-1.345939040184021	-1.5987603664398191	-1.3167659044265747	-2.0227279663085938	-2.022021770477295	-1.805558562278748	0.0606607198715209	0.4934950172901153	-1.0095726251602173	0.5236660838127136	0.6677169799804688	-0.3849895596504211
Now we have this great relationship."	Jetz hämer das grossartige Verhältnis."	Jetz hemmer die grossartig Beziehig."	"Etz händ mer die grossartigi Beziehig."	substitution	Jetz hemmer die müesami Beziehig."	14.54	14.54	9.54	34.01	24.54	11.7	-1.2555426359176636	-1.1423325538635254	-1.3609836101531982	0.4496003687381744	0.4732403755187988	0.5402933955192566	-0.7472824454307556	-0.0290799085050821	0.2281425446271896	-0.7221619486808777	-0.259927749633789	0.0015539359301328	0.0508298128843307	0.2658910155296325	0.4120768308639526	-0.3462110757827759	0.0828587636351585	0.2133490592241287	0.2938985824584961	0.5750522017478943	0.4822187423706054	0.0678882077336311	0.3889253437519073	0.2903273403644562	-1.080506682395935	-1.4042572975158691	-1.1811310052871704	-0.1628497987985611	-0.3755989968776703	0.1819719970226287	-0.4844675660133362	-0.8708181977272034	-0.6734587550163269	0.4984815120697021	0.3484171032905578	0.5677563548088074	0.1231113001704216	0.2152253687381744	0.4862234890460968	0.5384603142738342	0.546567440032959	0.4653424918651581	0.4368158876895904	0.4755958616733551	0.3629218339920044	0.3267807364463806	0.2913402616977691	0.4471742212772369	-1.1957759857177734	-1.29621160030365	-0.1043010652065277	-1.826462745666504	-1.8008015155792236	-0.7178350687026978	-1.4353035688400269	-1.077872395515442	-0.724818229675293	-1.611258864402771	-0.9943357706069946	-0.7477512359619141
Death toll from Indonesia tsunami rises to 832	D Azahl vo de Todesopfer vom Tsunami in Indonesie stiigt uf 832.	Zahl vo de Todsopfer dur de Tsunami in Indonesie stiigt uf 832	Zahl vode Todesopfer vom Tsunamis in Indonesie stigt uf 832	deletion	Zahl vo de Todsopfer dur de Tsunami stiigt uf 832	15.23	43.17	10.77	5.03	6.07	10.5	0.6073327660560608	0.7059680819511414	0.6995187401771545	0.8066993355751038	0.8505392074584961	0.8662974834442139	0.6203179359436035	0.8163141012191772	0.7298972606658936	0.3003548979759216	0.4694452285766601	0.5778977870941162	0.7036231756210327	0.8113086819648743	0.7565181255340576	0.7830437421798706	0.8741663694381714	0.7944579124450684	0.5681507587432861	0.6615386605262756	0.6318806409835815	0.5031540989875793	0.6267637610435486	0.6260896921157837	-0.9370304942131042	-0.7292243242263794	-0.15018230676651	0.4321813583374023	0.4944559335708618	0.6568692922592163	-0.6248655915260315	-0.348281055688858	0.5544741749763489	0.6813879013061523	0.6536034345626831	0.6790884733200073	0.771071195602417	0.7304927110671997	0.7254835963249207	0.5592204332351685	0.5263978838920593	0.5871089100837708	0.6317115426063538	0.610991358757019	0.6419528722763062	0.4840681254863739	0.6751115322113037	0.7182965874671936	0.0113921128213405	0.2703624665737152	0.3427886664867401	-1.2490496635437012	-1.2297619581222534	-0.9253427386283876	-0.2157477140426635	0.0023530889302492	-0.2146384418010711	0.2972565591335296	0.5223987698554993	0.4369341731071472
